	Строка - 423; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Копченые колбасы/P004227/","В/к колбасы Сервелат Левантский Особая Без свинины Весовые в/у Особый рецепт"), в количестве 50
Перенос данных из Строка - 410; наименование - Сосиски «Молочные для завтрака» Весовые П/а мгс ТМ «Особый рецепт» ==> 
	Строка - 428; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Особый рецепт/Особая Без свинины/Сосиски/P003972/","Сосиски «Молочные для завтрака» Весовые П/а мгс ТМ «Особый рецепт»"), в количестве 2000
Перенос данных из Строка - 465; наименование - Копченые колбасы «Балыкбургская с копченым балыком» вес айцел ТМ «Баварушка» ==> 
	Строка - 482; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Баварушка/Балыкбургская/Копченые колбасы/P004327/","Копченые колбасы «Балыкбургская с копченым балыком» вес айцел ТМ «Баварушка»"), в количестве 200
Перенос данных из Строка - 492; наименование - Вареные колбасы «Дугушка со шпиком» Весовой Вектор ТМ «Дугушка» ==> 
	Строка - 510; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004406/","Вареные колбасы «Дугушка со шпиком» Весовой Вектор ТМ «Дугушка»"), в количестве 100
Перенос данных из Строка - 494; наименование - Вареные колбасы «Молочная Дугушка» Весовые Вектор ТМ «Дугушка» ==> 
	Строка - 512; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004030/","Вареные колбасы «Молочная Дугушка» Весовые Вектор ТМ «Дугушка»"), в количестве 1000
Перенос данных из Строка - 496; наименование - Вареные колбасы «Дугушка Стародворская» Вес п/а ТМ «Дугушка» ==> 
	Строка - 514; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P002989/","Вареные колбасы «Дугушка Стародворская» Вес п/а ТМ «Дугушка»"), в количестве 1200
Перенос данных из Строка - 498; наименование - Вареные колбасы «Молочная Дугушка» Фикс.вес 0,6 П/а ТМ «Дугушка» ==> 
	Строка - 519; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Вареные колбасы/P004048/","Вареные колбасы «Молочная Дугушка» Фикс.вес 0,6 П/а ТМ «Дугушка»"), в количестве 300
Перенос данных из Строка - 502; наименование - Ветчины Дугушка Дугушка Вес б/о Дугушка ==> 
	Строка - 523; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Ветчины/P003146/","Ветчины Дугушка Дугушка Вес б/о Дугушка"), в количестве 1000
Перенос данных из Строка - 509; наименование - В/к колбасы «Сервелат Запеченный» Весовые Вектор ТМ «Дугушка» ==> 
	Строка - 531; наименование - =HYPERLINK("https://abi.ru/products/Охлажденные/Дугушка/Дугушка/Копченые колбасы/P003634/","В/к колбасы «Сервелат Запеченный» Весовые Вектор ТМ «Дугушка»"), в количестве 500

Вес продукции из первого файла: 15160
Вес продукции во втором файле составляет: 15160
